node,degree,centrality,clustering
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,1.0,0.0,0.0
4,0.0,0.0,0.0
5,1.0,0.0,0.0
6,1.0,0.0,0.0
7,1.0,0.0,0.0
8,0.0,0.0,0.0
9,1.0,0.0,0.0
10,0.0,0.0,0.0
11,2.0,2.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,2.0,0.0,1.0
15,2.0,0.0,1.0
16,1.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,1.0,0.0,0.0
23,2.0,0.0,1.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,1.0,0.0,0.0
29,1.0,0.0,0.0
30,1.0,0.0,0.0
31,1.0,0.0,0.0
32,0.0,0.0,0.0
33,1.0,0.0,0.0
34,0.0,0.0,0.0
35,1.0,0.0,0.0
36,0.0,0.0,0.0
37,1.0,0.0,0.0
38,3.0,8.0,0.3333333333333333
39,1.0,0.0,0.0
40,1.0,0.0,0.0
41,1.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,1.0,0.0,0.0
51,2.0,0.0,1.0
52,0.0,0.0,0.0
53,2.0,0.0,1.0
54,1.0,0.0,0.0
55,2.0,0.0,1.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,1.0,0.0,0.0
60,0.0,0.0,0.0
61,1.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,2.0,2.0,0.0
65,0.0,0.0,0.0
66,1.0,0.0,0.0
67,0.0,0.0,0.0
68,2.0,2.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,1.0,0.0,0.0
75,1.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,2.0,0.0,1.0
79,0.0,0.0,0.0
80,1.0,0.0,0.0
81,0.0,0.0,0.0
82,1.0,0.0,0.0
83,0.0,0.0,0.0
84,3.0,4.0,0.6666666666666666
85,1.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,1.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,1.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,1.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,1.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,2.0,2.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,1.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,1.0,0.0,0.0
115,0.0,0.0,0.0
116,2.0,0.0,1.0
117,0.0,0.0,0.0
118,1.0,0.0,0.0
119,0.0,0.0,0.0
120,1.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,1.0,0.0,0.0
126,2.0,0.0,1.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,1.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,1.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,1.0,0.0,0.0
138,1.0,0.0,0.0
139,1.0,0.0,0.0
140,1.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,1.0,0.0,0.0
144,1.0,0.0,0.0
145,1.0,0.0,0.0
146,0.0,0.0,0.0
147,3.0,8.0,0.3333333333333333
148,1.0,0.0,0.0
149,0.0,0.0,0.0
150,2.0,2.0,0.0
151,0.0,0.0,0.0
152,2.0,0.0,1.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,1.0,0.0,0.0
156,0.0,0.0,0.0
157,2.0,2.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,1.0,0.0,0.0
162,1.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,2.0,2.0,0.0
168,0.0,0.0,0.0
169,1.0,0.0,0.0
170,1.0,0.0,0.0
171,0.0,0.0,0.0
172,2.0,0.0,1.0
173,1.0,0.0,0.0
174,2.0,2.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,1.0,0.0,0.0
179,0.0,0.0,0.0
180,1.0,0.0,0.0
181,0.0,0.0,0.0
182,3.0,4.0,0.6666666666666666
183,2.0,0.0,1.0
184,1.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,1.0,0.0,0.0
189,0.0,0.0,0.0
190,2.0,0.0,1.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,2.0,0.0,1.0
194,0.0,0.0,0.0
195,2.0,0.0,1.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,1.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,1.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
