node,degree,centrality,clustering
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,1.0,0.0,0.0
3,1.0,0.0,0.0
4,1.0,0.0,0.0
5,2.0,6.0,0.0
6,1.0,0.0,0.0
7,3.0,8.0,0.3333333333333333
8,1.0,0.0,0.0
9,2.0,0.0,1.0
10,1.0,0.0,0.0
11,2.0,2.0,0.0
12,2.0,0.0,1.0
13,0.0,0.0,0.0
14,1.0,0.0,0.0
15,0.0,0.0,0.0
16,1.0,0.0,0.0
17,0.0,0.0,0.0
18,2.0,0.0,1.0
19,4.0,22.0,0.16666666666666666
20,1.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,3.0,18.0,0.0
24,1.0,0.0,0.0
25,2.0,0.0,1.0
26,1.0,0.0,0.0
27,0.0,0.0,0.0
28,1.0,0.0,0.0
29,1.0,0.0,0.0
30,1.0,0.0,0.0
31,1.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,1.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,2.0,0.0,1.0
44,3.0,0.0,1.0
45,4.0,2.0,0.6666666666666666
46,0.0,0.0,0.0
47,3.0,0.0,1.0
48,0.0,0.0,0.0
49,4.0,2.0,0.6666666666666666
50,3.0,0.0,1.0
51,5.0,9.333333333333332,0.6
52,1.0,0.0,0.0
53,6.0,10.833333333333332,0.6
54,3.0,8.0,0.6666666666666666
55,4.0,18.5,0.3333333333333333
56,7.0,44.16666666666667,0.38095238095238093
57,0.0,0.0,0.0
58,1.0,0.0,0.0
59,4.0,0.5,0.8333333333333334
60,3.0,8.0,0.6666666666666666
61,1.0,0.0,0.0
62,4.0,6.666666666666667,0.6666666666666666
63,2.0,0.0,1.0
64,0.0,0.0,0.0
65,1.0,0.0,0.0
66,2.0,0.0,1.0
67,2.0,2.0,0.0
68,2.0,0.0,1.0
69,1.0,0.0,0.0
70,1.0,0.0,0.0
71,1.0,0.0,0.0
72,2.0,0.0,1.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,1.0,0.0,0.0
76,1.0,0.0,0.0
77,2.0,0.0,1.0
78,0.0,0.0,0.0
79,3.0,4.0,0.3333333333333333
80,2.0,0.0,1.0
81,2.0,0.0,1.0
82,1.0,0.0,0.0
83,1.0,0.0,0.0
84,1.0,0.0,0.0
85,3.0,4.0,0.3333333333333333
86,2.0,0.0,1.0
87,2.0,0.0,1.0
88,2.0,0.0,1.0
89,2.0,0.0,1.0
90,1.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,1.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,1.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,1.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,1.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,2.0,0.0,1.0
107,2.0,0.0,1.0
108,0.0,0.0,0.0
109,2.0,0.0,1.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,2.0,0.0,1.0
116,1.0,0.0,0.0
117,2.0,0.0,1.0
118,0.0,0.0,0.0
119,1.0,0.0,0.0
120,3.0,12.0,0.3333333333333333
121,0.0,0.0,0.0
122,3.0,14.0,0.0
123,1.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,1.0,0.0,0.0
127,0.0,0.0,0.0
128,1.0,0.0,0.0
129,1.0,0.0,0.0
130,1.0,0.0,0.0
131,1.0,0.0,0.0
132,0.0,0.0,0.0
133,1.0,0.0,0.0
134,1.0,0.0,0.0
135,0.0,0.0,0.0
136,1.0,0.0,0.0
137,1.0,0.0,0.0
138,0.0,0.0,0.0
