cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,146
2,1374,4611,1,148
3,2056,4554,1,131
4,1831,4430,1,141
5,2272,4377,1,145
6,2199,4348,1,125
7,2611,4345,1,137
8,2717,4336,1,148
9,1276,4318,1,149
10,2117,4309,1,139
11,1553,4265,1,132
12,1729,4267,1,141
13,2565,4228,1,133
14,1257,4225,1,145
15,2238,4188,1,130
16,1702,4178,1,145
17,1644,4137,1,141
18,1370,4128,1,127
19,2666,4094,1,150
20,1857,4083,1,149
21,2334,4070,1,142
22,2758,4032,1,135
23,2551,3981,1,137
24,2448,3968,1,132
25,2433,3959,1,129
26,1511,3885,1,125
27,2651,3880,1,130
28,2807,3865,1,139
29,2113,3795,1,140
30,1417,3766,1,136
31,2296,3751,1,138
32,1683,3749,1,142
33,1702,3726,1,130
34,2259,3711,1,145
35,2202,3692,1,130
36,2887,3682,1,138
37,2106,3673,1,143
38,2130,3650,1,131
39,2237,3634,1,126
40,2287,3626,1,129
41,2912,3622,1,127
42,2180,3596,1,132
43,3219,3593,1,139
44,1454,3588,1,136
45,2636,3575,1,149
46,2258,3470,1,142
47,2031,3445,1,138
48,2790,3437,1,131
49,1583,3436,1,145
50,1382,3407,1,126
51,2604,3395,1,133
52,2883,3358,1,134
53,2255,3356,1,133
54,2831,3277,1,146
55,1916,3265,1,131
56,2275,3247,1,127
57,2082,3216,1,129
58,2164,3180,1,135
59,3065,3123,1,145
60,2606,3076,1,132
61,2363,3057,1,150
62,2010,3024,1,135
63,1756,3007,1,129
64,2660,2949,1,143
65,2809,2938,1,146
66,3151,2873,1,126
67,1967,2843,1,141
68,3080,2771,1,146
69,1624,2759,1,135
70,3080,2726,1,132
71,2818,2659,1,131
72,3224,2654,1,139
73,2445,2654,1,132
74,2156,2630,1,132
75,1818,2621,1,127
76,2127,2594,1,127
77,2992,2554,1,149
78,2287,2478,1,139
79,1986,2459,1,128
80,2212,2418,1,133
81,2269,2402,1,148
82,2147,2375,1,136
83,3348,2317,1,148
84,2163,2253,1,145
85,2221,1895,1,147
86,2526,1886,1,134
87,2496,1880,1,141
88,2231,1835,1,144
