comp,bumber of nodes,global clustering coefficient,transitivity
1,3,0.0,0.0
2,2,0.0,0.0
3,2,0.0,0.0
4,2,0.0,0.0
5,2,0.0,0.0
6,2,0.0,0.0
7,2,0.0,0.0
8,2,0.0,0.0
9,2,0.0,0.0
10,2,0.0,0.0
11,2,0.0,0.0
12,2,0.0,0.0
13,2,0.0,0.0
14,3,1.0,1.0
15,2,0.0,0.0
16,2,0.0,0.0
17,2,0.0,0.0
18,3,1.0,1.0
19,2,0.0,0.0
20,2,0.0,0.0
21,3,1.0,1.0
22,2,0.0,0.0
23,2,0.0,0.0
24,2,0.0,0.0
25,3,0.0,0.0
26,2,0.0,0.0
27,4,0.0,0.0
28,3,0.0,0.0
29,3,0.0,0.0
30,2,0.0,0.0
31,2,0.0,0.0
32,2,0.0,0.0
33,2,0.0,0.0
34,3,0.0,0.0
35,2,0.0,0.0
36,2,0.0,0.0
37,2,0.0,0.0
38,2,0.0,0.0
39,2,0.0,0.0
40,2,0.0,0.0
41,2,0.0,0.0
42,5,0.4666666666666667,0.5
43,5,0.8666666666666666,0.6
44,2,0.0,0.0
45,2,0.0,0.0
46,3,0.0,0.0
47,2,0.0,0.0
48,2,0.0,0.0
49,2,0.0,0.0
50,2,0.0,0.0
51,2,0.0,0.0
52,3,0.0,0.0
53,4,0.0,0.0
54,4,0.5833333333333333,0.6
55,2,0.0,0.0
56,2,0.0,0.0
57,2,0.0,0.0
58,2,0.0,0.0
59,3,0.0,0.0
60,2,0.0,0.0
61,2,0.0,0.0
62,2,0.0,0.0
63,4,0.0,0.0
64,2,0.0,0.0
65,2,0.0,0.0
66,2,0.0,0.0
67,2,0.0,0.0
68,2,0.0,0.0
69,2,0.0,0.0
70,2,0.0,0.0
71,3,0.0,0.0
72,2,0.0,0.0
73,3,1.0,1.0
74,2,0.0,0.0
75,2,0.0,0.0
76,2,0.0,0.0
77,2,0.0,0.0
