comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,2,0.0,0.0
3,2,0.0,0.0
4,3,1.0,1.0
5,4,0.0,0.0
6,3,0.0,0.0
7,2,0.0,0.0
8,3,0.0,0.0
9,3,0.0,0.0
10,2,0.0,0.0
11,6,0.27777777777777773,0.375
12,2,0.0,0.0
13,2,0.0,0.0
14,2,0.0,0.0
15,2,0.0,0.0
16,4,0.0,0.0
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,2,0.0,0.0
21,2,0.0,0.0
22,3,1.0,1.0
23,2,0.0,0.0
24,4,0.0,0.0
25,2,0.0,0.0
26,2,0.0,0.0
27,2,0.0,0.0
28,5,0.0,0.0
29,2,0.0,0.0
30,3,0.0,0.0
31,4,0.5833333333333333,0.6
32,3,0.0,0.0
33,2,0.0,0.0
34,2,0.0,0.0
35,2,0.0,0.0
36,2,0.0,0.0
37,3,0.0,0.0
38,2,0.0,0.0
39,2,0.0,0.0
40,2,0.0,0.0
41,2,0.0,0.0
42,2,0.0,0.0
43,3,0.0,0.0
44,2,0.0,0.0
45,3,0.0,0.0
46,2,0.0,0.0
47,2,0.0,0.0
48,4,1.0,1.0
49,3,0.0,0.0
50,2,0.0,0.0
51,2,0.0,0.0
52,2,0.0,0.0
53,2,0.0,0.0
54,2,0.0,0.0
55,2,0.0,0.0
56,2,0.0,0.0
57,3,0.0,0.0
58,2,0.0,0.0
59,2,0.0,0.0
60,2,0.0,0.0
61,2,0.0,0.0
62,2,0.0,0.0
63,2,0.0,0.0
64,3,1.0,1.0
65,2,0.0,0.0
66,2,0.0,0.0
67,2,0.0,0.0
68,2,0.0,0.0
69,2,0.0,0.0
70,3,0.0,0.0
71,3,0.0,0.0
72,2,0.0,0.0
73,2,0.0,0.0
74,2,0.0,0.0
75,2,0.0,0.0
76,2,0.0,0.0
77,2,0.0,0.0
78,2,0.0,0.0
