comp,bumber of nodes,global clustering coefficient,transitivity
1,4,0.5833333333333333,0.6
2,4,0.0,0.0
3,3,1.0,1.0
4,3,0.0,0.0
5,3,0.0,0.0
6,2,0.0,0.0
7,2,0.0,0.0
8,3,1.0,1.0
9,2,0.0,0.0
10,2,0.0,0.0
11,3,0.0,0.0
12,2,0.0,0.0
13,5,0.0,0.0
14,2,0.0,0.0
15,2,0.0,0.0
16,2,0.0,0.0
17,4,0.5833333333333333,0.6
18,3,1.0,1.0
19,2,0.0,0.0
20,3,1.0,1.0
21,2,0.0,0.0
22,4,0.0,0.0
23,2,0.0,0.0
24,2,0.0,0.0
25,2,0.0,0.0
26,2,0.0,0.0
27,3,1.0,1.0
28,2,0.0,0.0
29,2,0.0,0.0
30,2,0.0,0.0
31,2,0.0,0.0
32,2,0.0,0.0
33,2,0.0,0.0
34,2,0.0,0.0
35,2,0.0,0.0
36,4,0.0,0.0
37,2,0.0,0.0
38,2,0.0,0.0
39,2,0.0,0.0
40,3,1.0,1.0
41,2,0.0,0.0
42,2,0.0,0.0
43,2,0.0,0.0
44,2,0.0,0.0
