comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,2,0.0,0.0
5,2,0.0,0.0
6,2,0.0,0.0
7,2,0.0,0.0
8,2,0.0,0.0
9,2,0.0,0.0
10,2,0.0,0.0
11,2,0.0,0.0
12,2,0.0,0.0
13,2,0.0,0.0
14,3,0.0,0.0
15,3,1.0,1.0
16,3,1.0,1.0
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,2,0.0,0.0
21,2,0.0,0.0
22,2,0.0,0.0
23,3,0.0,0.0
24,2,0.0,0.0
25,2,0.0,0.0
26,3,1.0,1.0
27,2,0.0,0.0
28,3,1.0,1.0
29,5,0.5333333333333333,0.6
30,2,0.0,0.0
31,2,0.0,0.0
32,2,0.0,0.0
33,2,0.0,0.0
34,2,0.0,0.0
35,2,0.0,0.0
36,2,0.0,0.0
37,2,0.0,0.0
38,2,0.0,0.0
39,2,0.0,0.0
40,2,0.0,0.0
41,3,1.0,1.0
42,2,0.0,0.0
43,2,0.0,0.0
44,2,0.0,0.0
45,2,0.0,0.0
46,2,0.0,0.0
47,2,0.0,0.0
48,2,0.0,0.0
49,2,0.0,0.0
50,4,0.0,0.0
51,2,0.0,0.0
52,2,0.0,0.0
53,2,0.0,0.0
54,2,0.0,0.0
55,2,0.0,0.0
56,2,0.0,0.0
57,2,0.0,0.0
