node,degree,centrality,clustering
0,0.0,0.0,0.0
1,3.0,0.0,1.0
2,4.0,23.803246753246757,0.6666666666666666
3,4.0,62.984440559440586,0.6666666666666666
4,5.0,266.3048006087479,0.5
5,3.0,148.39253115305758,0.6666666666666666
6,4.0,425.8795009084484,0.3333333333333333
7,3.0,381.5564908775437,0.3333333333333333
8,4.0,306.486969755391,0.3333333333333333
9,4.0,252.3552751342224,0.3333333333333333
10,5.0,428.889824210877,0.5
11,4.0,25.472375577638736,0.8333333333333334
12,4.0,35.81944444444444,0.6666666666666666
13,5.0,43.64665860455334,0.7
14,3.0,0.0,1.0
15,2.0,164.32301003090484,0.0
16,4.0,211.3230100309048,0.5
17,5.0,381.65021922521925,0.4
18,7.0,670.3380577626704,0.47619047619047616
19,3.0,0.0,1.0
20,2.0,0.0,1.0
21,6.0,167.6025963200885,0.4666666666666667
22,2.0,375.6443086153613,0.0
23,5.0,157.44451267686551,0.3
24,3.0,18.40238095238094,0.6666666666666666
25,5.0,286.5642828018216,0.5
26,2.0,416.12049909155166,0.0
27,5.0,515.3144561235117,0.5
28,3.0,243.06024954577583,0.6666666666666666
29,3.0,462.12049909155166,0.3333333333333333
30,3.0,243.06024954577583,0.6666666666666666
31,4.0,124.64936133697753,0.3333333333333333
32,10.0,494.7217402652385,0.5555555555555556
33,6.0,14.999633699633703,0.7333333333333333
34,4.0,618.5193086153616,0.16666666666666666
35,8.0,575.2742962747608,0.5714285714285714
36,10.0,205.25746303919672,0.5777777777777777
37,4.0,238.5257575757575,0.5
38,4.0,0.0,1.0
39,1.0,0.0,0.0
40,5.0,10.0,0.6
41,9.0,32.001221001221,0.75
42,10.0,70.08935933347699,0.6444444444444445
43,1.0,0.0,0.0
44,8.0,27.995205774617542,0.6785714285714286
45,10.0,322.23200688200694,0.5111111111111111
46,9.0,233.89499389499392,0.6944444444444444
47,3.0,0.0,1.0
48,5.0,2.0,0.8
49,5.0,2.0,0.8
50,3.0,0.0,1.0
51,6.0,638.7083333333333,0.4
52,6.0,28.571428571428573,0.7333333333333333
53,1.0,0.0,0.0
54,5.0,2.0,0.8
55,3.0,0.0,1.0
56,4.0,552.0,0.5
57,3.0,0.0,1.0
58,4.0,294.0,0.5
59,0.0,0.0,0.0
60,3.0,0.0,1.0
61,0.0,0.0,0.0
62,3.0,200.0,0.3333333333333333
63,2.0,0.0,1.0
64,2.0,0.0,1.0
65,0.0,0.0,0.0
66,3.0,0.0,1.0
67,0.0,0.0,0.0
68,1.0,0.0,0.0
69,3.0,0.0,1.0
70,1.0,0.0,0.0
71,3.0,0.0,1.0
72,4.0,24.0,0.5
73,3.0,24.0,0.3333333333333333
74,1.0,0.0,0.0
75,0.0,0.0,0.0
76,2.0,0.0,1.0
77,0.0,0.0,0.0
78,3.0,5.0,0.6666666666666666
79,3.0,5.0,0.6666666666666666
80,2.0,14.0,0.0
81,1.0,0.0,0.0
82,2.0,24.0,0.0
83,1.0,0.0,0.0
84,0.0,0.0,0.0
85,2.0,2.0,0.0
86,4.0,33.0,0.3333333333333333
87,4.0,26.0,0.16666666666666666
88,1.0,0.0,0.0
89,1.0,0.0,0.0
90,3.0,3.0,0.6666666666666666
91,2.0,0.0,1.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
