node,degree,centrality,clustering
0,0.0,0.0,0.0
1,1.0,0.0,0.0
2,2.0,4.0,0.0
3,2.0,4.0,0.0
4,1.0,0.0,0.0
5,1.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,1.0,0.0,0.0
9,1.0,0.0,0.0
10,0.0,0.0,0.0
11,1.0,0.0,0.0
12,1.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,1.0,0.0,0.0
16,1.0,0.0,0.0
17,2.0,0.0,1.0
18,2.0,0.0,1.0
19,2.0,8.0,0.0
20,0.0,0.0,0.0
21,1.0,0.0,0.0
22,2.0,0.0,1.0
23,3.0,4.0,0.3333333333333333
24,3.0,16.0,0.0
25,1.0,0.0,0.0
26,1.0,0.0,0.0
27,1.0,0.0,0.0
28,2.0,0.0,1.0
29,2.0,0.0,1.0
30,2.0,8.0,0.0
31,0.0,0.0,0.0
32,2.0,0.0,1.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,1.0,0.0,0.0
36,1.0,0.0,0.0
37,2.0,2.0,0.0
38,0.0,0.0,0.0
39,2.0,0.0,1.0
40,2.0,0.0,1.0
41,1.0,0.0,0.0
42,1.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,1.0,0.0,0.0
46,0.0,0.0,0.0
47,1.0,0.0,0.0
48,1.0,0.0,0.0
49,2.0,2.0,0.0
50,2.0,0.0,1.0
51,0.0,0.0,0.0
52,2.0,0.0,1.0
53,1.0,0.0,0.0
54,0.0,0.0,0.0
55,1.0,0.0,0.0
56,1.0,0.0,0.0
57,2.0,0.0,1.0
58,2.0,0.0,1.0
59,2.0,0.0,1.0
60,2.0,0.0,1.0
61,0.0,0.0,0.0
62,3.0,12.0,0.3333333333333333
63,2.0,8.0,0.0
64,2.0,0.0,1.0
65,0.0,0.0,0.0
66,1.0,0.0,0.0
67,3.0,1.0,0.6666666666666666
68,3.0,8.0,0.3333333333333333
69,3.0,1.0,0.6666666666666666
70,2.0,0.0,1.0
71,0.0,0.0,0.0
72,1.0,0.0,0.0
73,1.0,0.0,0.0
74,1.0,0.0,0.0
75,0.0,0.0,0.0
76,1.0,0.0,0.0
77,0.0,0.0,0.0
78,2.0,2.0,0.0
79,1.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,1.0,0.0,0.0
87,0.0,0.0,0.0
88,2.0,2.0,0.0
89,1.0,0.0,0.0
90,3.0,4.0,0.3333333333333333
91,1.0,0.0,0.0
92,1.0,0.0,0.0
93,0.0,0.0,0.0
94,2.0,0.0,1.0
95,2.0,0.0,1.0
96,2.0,2.0,0.0
97,0.0,0.0,0.0
98,1.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,1.0,0.0,0.0
102,1.0,0.0,0.0
103,1.0,0.0,0.0
104,0.0,0.0,0.0
105,1.0,0.0,0.0
106,1.0,0.0,0.0
107,2.0,2.0,0.0
108,3.0,0.0,1.0
109,3.0,0.0,1.0
110,3.0,0.0,1.0
111,1.0,0.0,0.0
112,1.0,0.0,0.0
113,3.0,0.0,1.0
114,2.0,0.0,1.0
115,1.0,0.0,0.0
116,4.0,2.0,0.6666666666666666
117,4.0,2.0,0.6666666666666666
118,3.0,0.0,1.0
119,0.0,0.0,0.0
120,3.0,0.0,1.0
121,2.0,0.0,1.0
122,3.0,12.0,0.3333333333333333
123,2.0,0.0,1.0
124,2.0,12.0,0.0
125,0.0,0.0,0.0
126,1.0,0.0,0.0
127,1.0,0.0,0.0
128,1.0,0.0,0.0
129,1.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,2.0,8.0,0.0
134,1.0,0.0,0.0
135,0.0,0.0,0.0
136,1.0,0.0,0.0
137,3.0,0.0,1.0
138,3.0,0.0,1.0
139,3.0,0.0,1.0
140,3.0,0.0,1.0
141,2.0,0.0,1.0
142,2.0,0.0,1.0
143,2.0,0.0,1.0
144,1.0,0.0,0.0
145,3.0,6.0,0.3333333333333333
146,0.0,0.0,0.0
147,3.0,6.0,0.3333333333333333
148,2.0,0.0,1.0
149,1.0,0.0,0.0
150,1.0,0.0,0.0
151,0.0,0.0,0.0
152,1.0,0.0,0.0
153,3.0,14.0,0.0
154,3.0,14.0,0.0
155,1.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,1.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,1.0,0.0,0.0
163,2.0,48.0,0.0
164,1.0,0.0,0.0
165,2.0,0.0,1.0
166,2.0,0.0,1.0
167,3.0,66.0,0.3333333333333333
168,2.0,0.0,1.0
169,0.0,0.0,0.0
170,4.0,36.0,0.6666666666666666
171,1.0,0.0,0.0
172,1.0,0.0,0.0
173,0.0,0.0,0.0
174,4.0,36.0,0.6666666666666666
175,0.0,0.0,0.0
176,5.0,38.0,0.4
177,5.0,92.0,0.4
178,3.0,50.0,0.0
179,2.0,66.0,0.0
180,1.0,0.0,0.0
181,0.0,0.0,0.0
182,3.0,26.0,0.3333333333333333
183,1.0,0.0,0.0
184,2.0,2.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,1.0,0.0,0.0
189,1.0,0.0,0.0
190,0.0,0.0,0.0
191,1.0,0.0,0.0
192,1.0,0.0,0.0
193,1.0,0.0,0.0
194,0.0,0.0,0.0
195,1.0,0.0,0.0
196,1.0,0.0,0.0
197,1.0,0.0,0.0
198,2.0,2.0,0.0
199,1.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,2.0,0.0,1.0
204,0.0,0.0,0.0
205,2.0,0.0,1.0
206,1.0,0.0,0.0
207,2.0,8.0,0.0
208,4.0,16.0,0.16666666666666666
209,0.0,0.0,0.0
210,1.0,0.0,0.0
211,0.0,0.0,0.0
212,1.0,0.0,0.0
213,0.0,0.0,0.0
214,1.0,0.0,0.0
215,1.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,1.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,3.0,4.0,0.3333333333333333
224,2.0,0.0,1.0
